"podcast";"number";"date";"year";"month";"weekday";"duration";"title";"host";"guest";"category";"topic";"summary"
"Defocused";"18";2014-10-15;"2014";"October";"Wednesday";78.15;"Tim Curried Bacon";"Joe Rosensteel, Dan Sturm";NA;"Movies";"Clue";"This week, the guys are tired and, we’re not going to lie, things get a little weird. But, that doesn’t change the fact that this week’s movie, Clue (1985) is just wonderful fun"
"TeeVee";"30";2014-10-12;"2014";"October";"Sunday";33.3;"Doctor Who S8E8 review: “Mummy on the Orient Express”";"Jason Snell";"Dan Moren";"Not provided";"Doctor Who Series 8, Episode 8";"Live from Montreal, Canada, Dan Moren and Jason Snell watch an episode of “Doctor Who” and then talk about it! Clara’s unique relationship with the Doctor combines with an interesting (if familiar) “Doctor Who” plot. We talk it all through.

Want only The Incomparable Network’s Doctor Who-themed episodes? Subscribe to this feed: http://feeds.theincomparable.com/doctorwho"
"The Incomparable";"215";2014-10-11;"2014";"October";"Saturday";88.5833333333333;"Someone Is Threatening My Whales";"Jason Snell";"Moisés Chiullan, Brianna Wu, David J. Loehr, Scott McNulty, Tony Sindelar";"Shows";"More of the best and worst of “Star Trek.”";"Set your phasers to stun and get ready for another round of our panel’s choices for the best and worst of “Star Trek.” This time, we’re debating the best and worst Trek series and movies. Jason and Brianna’s mirror-universe duplicates are revealed. And Tony spends a lot of time talking about sea life"
"TeeVee";"29";2014-10-11;"2014";"October";"Saturday";48.0833333333333;"Sons of Anarchy S7E5 recap: “Some Strange Eruption”";"Lisa Schmeiser, Philip Mozolak";NA;"Not provided";"￼Sons of Anarchy Season 7, Episode 5";"Lisa & Moze recap the “Strange Eruption” inside of Charming.  We span car crashes, the usual lies and KungFu fighting on the side streets of Stockton. 

Want to subscribe only to our Sons of Anarchy episodes in your podcast app? Subscribe to http://feeds.theincomparable.com/soa"
"TV Talk Machine";"4";2014-10-10;"2014";"October";"Friday";43.8833333333333;"A Miscalculation of Epic Proportions";"Tim Goodman, Jason Snell";NA;"Not provided";"Superhero shows and more fall premieres";"From the comic book pages to your TV screen, we counted at least five network TV series involving superheroes. But who can tell “The Flash” from “Constantine?” Jason’s read the comics, but most people—including Tim—haven’t. And isn’t that all for the best? Also, Jason gives Disney/ABC/Marvel a million-dollar idea for free, and Tim previews “Jane the Virgin,” “Star Wars Rebels,” and “Marry Me"
"Random Trek";"20";2014-10-09;"2014";"October";"Thursday";45.3;"“First Contact” (TNG) with Tony Sindelar";"Scott McNulty";"Tony Sindelar";"Not provided";"“First Contact”";"Tony Sindelar, the Incomparable and co-DM of Total Party Kill, joins  Scott to discuss TNG’s First Contact (S4E15).

Topics include Riker’s total lack of guile, Malcorian facial hair, the naming of planets, alien groupies, and when it is appropriate to beam somewhere"
"Defocused";"17";2014-10-08;"2014";"October";"Wednesday";93;"The Clipping Plane from Heaven";"Joe Rosensteel, Dan Sturm";NA;"Movies";"The Frighteners";"Dan ate our social engagement platform, Joe braces for work, and we watch Peter Jackson’s 1996 cult classic, The Frighteners"
"TeeVee";"28";2014-10-05;"2014";"October";"Sunday";46.0666666666667;"Doctor Who S8E7 review: “Kill the Moon”";"Glenn Fleishman";"David J. Loehr, Scott McNulty";"Not provided";"Doctor Who Series 8, Episode 7";"What has the moon ever done to you? We discuss this week’s “Doctor Who” adventure, the insanely titled “Kill the Moon.” Is this original or more of a pastiche? The unexpected Courtney Woods story continues! Polka dots! And much more.

Want only The Incomparable Network’s Doctor Who-themed episodes? Subscribe to this feed: http://feeds.theincomparable.com/doctorwho"
"The Incomparable";"214";2014-10-04;"2014";"October";"Saturday";72.5166666666667;"Fun is Underrated";"Jason Snell";"Dan Moren, Scott McNulty, David J. Loehr";"Books";"“The Expanse” book club.";"Space detectives! Pathologically honest spaceship captains! Murderous alien molecules! Solar-system-wide diplomacy! You’ll find all this and more in “The Expanse,” a sci-fi novel series by James S.A. Corey that’s soon to become a SyFy channel series. The members of our Book Club highly recommend it. Also: What are we reading"
"TeeVee";"27";2014-10-03;"2014";"October";"Friday";61.9;" Sons of Anarchy S7E3-4: “Playing With Monsters”/”Poor Little Lambs”";"Lisa Schmeiser, Philip Mozolak";NA;"Shows";"Sons of Anarchy Season 7, Episodes 3-4";"Double Shots! Lisa and Moze tread the last of the sluggish “Sons of Anarchy” episodes (hopefully) and discover something new. Could it be love in Charming or just people talking to themselves? Let’s peel back the dermis and find out.

Want to subscribe only to our Sons of Anarchy episodes in your podcast app? Subscribe to http://feeds.theincomparable.com/soa"
"TV Talk Machine";"3";2014-10-03;"2014";"October";"Friday";43.8333333333333;"Kind of Like a Cronut";"Tim Goodman, Jason Snell";NA;"Not provided";"Zombies and other TV horrors";"Braaaaains! As we enter October, our thoughts turn to spooky things like vampires and zombies. “The Walking Dead” is coming back, and it’s started an avalanche of other zombie-themed TV… none of which quite matches up to the original. Also, Tim and Jason talk about the TV premieres happening in the next week, and Tim just keeps thinking outside the box"
"Total Party Kill";"33";2014-10-03;"2014";"October";"Friday";61.9;"Should My Orb Still Be Glowing?";"Tony Sindelar, Dan Moren";"Steve Lutz, Sarah Barbour, Serenity Caldwell, Erika Ensign, Jason Snell, Monty Ashley";"Not provided";"Dragonforge and Associates, part 10";"Dragonforge and Associates come around a corner to discover an entirely new room full of entirely new dangers! Melech and Pieter are clumsy lummoxes. A surprising feature of the new room is revealed. And while Flessa thinks they’re pointy kitties, if they bite and swarm, they’re probably rats. #ratfacts"
"Random Trek";"19";2014-10-02;"2014";"October";"Thursday";43.4166666666667;"“Sleeping Dogs” (ENT) with Lex Friedman";"Scott McNulty";"Lex Friedman";"Not provided";"“Sleeping Dogs”";"Lex Friedman, famous for not having seen it, being Daily, Rebounding, and Turning a Car Around, joins Scott to talk about Sleeping Dogs (Enterprise S1E14). Scott expresses mild shock and then major regret after learning that this episode is the first Star Trek episode Lex has ever seen (spoiling: Sleeping Dogs is not a great first Star Trek experience). We determine that T’Pal is a Vulcan, Hoshi is better than the Universal Translator, and ponder just how badly it smelled on that Klingon ship"
"Defocused";"16";2014-10-01;"2014";"October";"Wednesday";102.7;"Step 1: Atomic Bomb";"Joe Rosensteel, Dan Sturm";"Matt Alexander";"Movies";"Goldfinger";"Former volcano owner and current World’s Greatest CEO Matt Alexander joins us to talk about tearaway trousers, reclaimed wood, what to do when planes fly overhead, what ingredients may or may not be in KFC’s “chicken”, and, of course, Goldfinger (1964"
"TeeVee";"26";2014-09-28;"2014";"September";"Sunday";34.8;"Doctor Who S8E6 review: “The Caretaker”";"Jason Snell";"Dan Moren, Glenn Fleishman";"Not provided";"Doctor Who Series 8, Episode 6";"The Doctor takes a job at Coal Hill School in order to stop a clicky-clacky robot who wants to shoot people full of laser beams. But that’s really beside the point in an episode that’s all about dialogue, character, and the relationships that the Doctor, Clara, and Danny Pink have. We break down the latest episode of “Doctor Who,” “The Caretaker,” and also ponder Matt Smith lookalikes, the Doctor as an officer and a Time Lord, and Courtney Woods, Disruptive Influence.

Want only The Incomparable Network’s Doctor Who-themed episodes? Subscribe to this feed: http://feeds.theincomparable.com/doctorwho"
"The Incomparable";"213";2014-09-27;"2014";"September";"Saturday";106.7;"You Need an Agent of Chaos";"Jason Snell";"David J. Loehr, Philip Michaels, Lisa Schmeiser, Lex Friedman, Monty Ashley";"Shows";"Fantasy “Saturday Night Live” draft";"Why build fantasy sports teams when you can build a fantasy sketch-comedy team? On the occasion of the debut of season 40 of “Saturday Night Live,” we assemble six different SNL fantasy casts from the very first cast to the most recent vintage. Almost everyone gets a Phil Hartman! But only after a whole bunch of rules debates"
"Bonus Track";"213b";2014-09-27;"2014";"September";"Saturday";18.4833333333333;"The Kroeger Report";"Jason Snell";"David J. Loehr, Monty Ashley";"Not provided";"The Incomparable #213";"Phil and Jason emulate Charles Rocket and Jenny Slate, but Lisa doesn’t! A digression about The Ben Stiller Show. And lots about Gary Kroeger. We love ya, Gary"
"TV Talk Machine";"2";2014-09-26;"2014";"September";"Friday";52.7;"A Bad Idea From Famous People";"Tim Goodman, Jason Snell";NA;"Shows";"New premieres, ratings winners and losers";"Against all odds, we’re back for a second episode! In this episode, Tim and Jason run through some of the new premieres, including “Forever,” “Black-ish,” “Gotham,” “Scorpion,” and “Red Band Society.” Also, Tim looks at the ratings to see what shows are looking good and which ones have a good chance of being the first to be cancelled. Then we take a look at the next week’s new shows, briefly praise some returning shows, coin the term overspadered, and liken the current Fox schedule to a garbage fire"
"Random Trek";"18";2014-09-25;"2014";"September";"Thursday";49.2666666666667;"“I, Mudd” (TOS) with Monty Ashley";"Scott McNulty";"Monty Ashley";"Not provided";"“I, Mudd”";"Monty Ashely, Incomparable panelist and Internet writer, joins Scott to talk about The Original Serie’s second Harry Mudd episode: I, Mudd (S2E12). Uniforms, the concept of computers (and if the Star Trek writers have any idea how they work), and Kirk taking the law in his own hands are all discussed"
"Defocused";"15";2014-09-25;"2014";"September";"Thursday";92.65;"Chekhov’s Law of Omega Thirteens";"Joe Rosensteel, Dan Sturm";NA;"Movies";"Galaxy Quest";"Joe and Dan talk about college mascots and libraries. Joe nerds-out over Galaxy Quest (1999), while Dan politely nods"
"TeeVee";"25";2014-09-21;"2014";"September";"Sunday";33.8666666666667;"Doctor Who S8E5 review: “Time Heist”";"Jason Snell";"Monty Ashley, Chip Sudderth";"Not provided";"Doctor Who Series 8, Episode 5";"Four people, no memories, and the biggest bank in the galaxy. What could go wrong? To break down Doctor Who’s latest episode, “Time Heist,” we’ve assembled a crack team of experts, each with their own special abilities. Also, we wonder about vents, praise the lighting technicians at the bank, and discuss whether looking into your own eyes is as bad as it’s made out to be.



Want only The Incomparable Network’s Doctor Who-themed episodes? Subscribe to this feed: http://feeds.theincomparable.com/doctorwho"
"The Incomparable";"212";2014-09-20;"2014";"September";"Saturday";106.85;"A MacGyver in the Making";"Jason Snell";"John Siracusa, Merlin Mann, Andy Ihnatko, Steve Lutz, David J. Loehr";"Movies";"“Toy Story.”";"Wind the frog and acquire more monkeys! It’s time for us to discuss the very first computer-animated feature film, 1995’s “Toy Story.” We ponder the rules of when toys can reveal themselves to people, question the physics of the Pizza Planet claw, and speak in defense of Sid (but not of Randy Newman). Also: Is this the end of Slinky Dog"
"TeeVee";"24";2014-09-20;"2014";"September";"Saturday";31.8333333333333;"Sons of Anarchy S7E2 review: “Toil and Till”";"Lisa Schmeiser, Philip Mozolak";NA;"Not provided";"￼Sons of Anarchy Season 7, Episode 2";"We examine what may have been the slowest episode of SOA to date. Exactly how many people do you have to kill before you qualify as a mass murderer? Is it the number of people or is it the time period in which you do the killing? We’re asking because this just might be the episode where Jax crossed over to mass-murderer status.

Now that the Sons have already killed their way through Americans, Mexicans, Russians, Italians and Irish people, they’re going out for Chinese. If there is a “Kill A Small World” ride at Mirrorverse Disney, the Sons are clearly lining up for its Fast Pass.

Want to subscribe only to our “Sons of Anarchy” episodes in your podcast app? Subscribe to http://feeds.theincomparable.com/soa"
"Bonus Track";"212b";2014-09-20;"2014";"September";"Saturday";21.9666666666667;"Ohhh Myyyy";"Jason Snell";"Andy Ihnatko, Steve Lutz";"Movies";"The Incomparable #212";"Lots of George Takei impressions, plus “Toy Story” talk—including our diabolical interpretation of what really happened to Andy’s dad. And John Siracusa mistakes bamboo for pot"
"TV Talk Machine";"1";2014-09-19;"2014";"September";"Friday";53.6166666666667;"We Take the Bullet";"Tim Goodman, Jason Snell";NA;"Not provided";"Shows to watch out for this fall.";"It’s a podcast about television! Every week Hollywood Reporter Chief TV Critic Tim Goodman joins Jason Snell to talk about what’s worth watching. In this first episode of the fourth incarnation of the TV Talk machine, Tim highlights four network shows he likes, a second tier of shows on his maybe list, and reveals that the fall’s best new series isn’t available on either cable or broadcast TV"
"Total Party Kill";"32";2014-09-19;"2014";"September";"Friday";56.0666666666667;"One Rat Deep";"Tony Sindelar, Dan Moren";"Erika Ensign, Monty Ashley, Jason Snell, Steve Lutz, Serenity Caldwell, Sarah Barbour";"Not provided";"Dragonforge and Associates, part 9";"Our adventurers battle some goblins and ponder a stack of rats in the corner of a hallway. A clever goblin plan to trap our adventurers in an enclosed space has an apparently unanticipated side-effect. Pieter gets cold feet. Olestran rolls a critical smell. And at the end, we take a break for some talk about beer"
"Random Trek";"17";2014-09-18;"2014";"September";"Thursday";45.55;"“Indiscretion” (DS9) with John Siracusa";"Scott McNulty";"John Siracusa";"Not provided";"“Indiscretion”";"John Siracusa, of ATP and Incomparable note, joins Scott to talk about DS9’s Indiscretion (S4E5). Scott explains the deal with Deep Space Nine, John questions the central premise, and some parallels to Star Wars are identified.

The end of this episode features a Random Trek theme song written and performed by listener Adam Sakellarides. Thanks, Adam"
"Defocused";"14";2014-09-17;"2014";"September";"Wednesday";97.7;"The Penultimate Pen";"Joe Rosensteel, Dan Sturm";NA;"Movies";"Grosse Pointe Blank";"Joe hates love. Dan hates chicken salad. An omelet with nothing in it isn’t technically an omelet, and carrots and celery are just a base of a soup.

This week, we watch Grosse Pointe Blank (1997"
"TeeVee";"23";2014-09-14;"2014";"September";"Sunday";33.0333333333333;"Doctor Who S8E4 review: “Listen”";"Jason Snell";"Glenn Fleishman";"Not provided";"Doctor Who Series 8, Episode 4";"Don’t blink! Don’t breathe! But do listen to this episode, where we break down Steven Moffat’s “Listen,” a standalone episode with some surprising connections to Doctor Who history. We identify a possible theme for this season’s episodes, separate from the story arc. Jason recalls previous Steven Moffat series. And Danny Pink and The Doctor both appreciate the importance of a toy soldier who doesn’t carry a gun.



Want only The Incomparable Network’s Doctor Who-themed episodes? Subscribe to this feed: http://feeds.theincomparable.com/doctorwho"
"The Incomparable";"211";2014-09-13;"2014";"September";"Saturday";81.25;"These Are All Good Ideas";"Jason Snell";"Andy Ihnatko, Philip Michaels, Moisés Chiullan, David J. Loehr";"Shows";"TV show reboot pitches.";"Dear Network Executives,

We know your libraries of intellectual property are full of perfectly good shows, ready to be dusted off and revived for modern audiences. That’s why our panel of esteemed Idea Men is here to provide you with some suggestions about what shows to bring back, and how.

Also, please consider casting John Hodgman in everything"
"Bonus Track";"211b";2014-09-13;"2014";"September";"Saturday";2.76666666666667;"That Was Gold, Baby";"Jason Snell";"Moisés Chiullan, Andy Ihnatko";"Not provided";"The Incomparable 211";"Jason copes with horrible technical difficulties while everyone around him sings"
"TeeVee";"22";2014-09-11;"2014";"September";"Thursday";28.1833333333333;"Sons of Anarchy S7E1 review: “Black Widower”";"Lisa Schmeiser";"Philip Mozolak";"Not provided";"Sons of Anarchy Season 9, Episode 1";"Recapping FX's “Sons of Anarchy,” Lisa Schmeiser and Philip Mozolak ride into the season premiere episode to find out what havoc the MC has been through the last 10 days.

Want to subscribe only to our “Sons of Anarchy” episodes in your podcast app? Subscribe to http://feeds.theincomparable.com/soa"
"Random Trek";"16";2014-09-11;"2014";"September";"Thursday";45.1;"“Phage” (VOY) with David Loehr";"Scott McNulty";"David J. Loehr";"Not provided";"“Phage”";"David J. Loehr, Incomparable panelist and playwright, joins Scott to discuss Voyager’s Phage (S1E5). Neelix’s lungs are stolen, and yet he still talks too much in this episode. Good old Harry Kim scans a wall, and the crew forgets the most important rule: never split the party"
"Defocused";"13";2014-09-10;"2014";"September";"Wednesday";67.4333333333333;"Racing Bulldozers";"Joe Rosensteel, Dan Sturm";"Stephen Hackett";"Movies";"Pirates of Silicon Valley";"Special guest Stephen Hackett joins us for some brief beverage banter before breaking down Pirates of Silicon Valley"
"Not Playing";"2.12";2014-09-08;"2014";"September";"Monday";28.6;"Dude, Where’s My Scarface?";"Lex Friedman, Dan Moren";"John Siracusa";"Not provided";"“Scarface”";"Special guest John Siracusa takes time out of his busy operating-system review schedule to join Lex and Dan for Not Playing’s season two finale. Neither John nor your regular hosts had ever seen Scarface. We fixed that.

Of course, Siracusa’s known for being hypercritical. Will Oliver Stone’s script, Brian De Palma’s directing, and Al Pacino’s acting be enough to impress him, or will Scarface need to say hello to John’s little friend: grudging disdain?

Hot topics include what makes a gangster movie successful, random characters who suddenly become the center of attention during the climactic conclusion, and man, is Michelle Pfeiffer beautiful.

Want to support the show? You can stream along from Amazon and give us a kickback at the same time, or if you prefer iTunes, we roll that way too.

You may be wondering when season three of Not Playing will kick off. We’re wondering that, too, and we’ll decide soon! Stay tuned to the site and our Twitter feed for more info"
"TeeVee";"21";2014-09-07;"2014";"September";"Sunday";42.05;"Doctor Who S8E3 review: “Robot of Sherwood”";"Jason Snell";"Dan Moren, David J. Loehr";"Not provided";"Doctor Who Series 8, Episode 3";"The Doctor finally meets Robin Hood, and refuses to acknowledge his existence! What does this say about the Doctor’s view of himself and his own story? We talk about Mark Gatiss’s “Robot of Sherwood.” Yet another fantastic Capaldi performance with crackling dialogue. Jack Kirby robots! Spoon duels! Gallimaufry! Gold arrows! David Loehr and Dan Moren join Jason Snell to break it all down.



Want only The Incomparable Network’s Doctor Who-themed episodes? Subscribe to this feed: http://feeds.theincomparable.com/doctorwho"
"Bonus Track";"210b";2014-09-06;"2014";"September";"Saturday";19.55;"Horses Die a Lot in the Future";"Jason Snell";"Lisa Schmeiser, Erika Ensign";"Not provided";"The Incomparable 210";"More talk about “The Stand,” how it relates to “Lost” and “Y: The Last Man,” and Lisa swears and then apologizes"
"The Incomparable";"210";2014-09-05;"2014";"September";"Friday";86.2833333333333;"You Ain’t No Nice Guy";"Jason Snell";"Erika Ensign, Lisa Schmeiser, Monty Ashley, John Siracusa";"Books";"Stephen King’s “The Stand.”";"Take your flu medication, head west out of the abandoned cities, and join us for our discussion of Stephen King’s classic novel “The Stand.” We discuss why we enjoy (literary) apocalypses, question King’s setting of the revised edition in 1990, and join forces with an impossibly wise Yoda figure to plan the ultimate battle between the forces of good and the forces of Vegas. Baby, can you dig your man?

Post-show: Our own personal apocalypse plans, revisited"
"Total Party Kill";"31";2014-09-05;"2014";"September";"Friday";56.2166666666667;"Blinded by Kobold Science";"Dan Moren, Tony Sindelar";"Sarah Barbour, Jason Snell, Erika Ensign, Steve Lutz, Serenity Caldwell, Monty Ashley";"Not provided";"Dragonforge and Associates, part 8";"In this episode, our adventurers make a gigantic mess in a Kobold lab. A Kobold intern proffers his resume. Someone gets sparkly, like a Twilight vampire. Undermountain cubicles are disrupted. We mispronounce many words. Plus: Secret recipes learned at Fictional Kobold Science University"
"Random Trek";"15";2014-09-04;"2014";"September";"Thursday";45.0666666666667;"“Remember Me” (TNG) with Jacqui Cheng";"Scott McNulty";"Jacqui Cheng";"Not provided";"“Remember Me”";"Jacqui Cheng, Editor-in-chief of The Wirecutter, joins Scott to talk about TNG’s Remember Me (S4E5). In this episode who let Wesley fiddle with the Warp core and why, The Traveller as “Q Light,” and how Dr. Crusher definitely isn’t crazy (despite all the men thinking otherwise"
"Defocused";"12";2014-09-03;"2014";"September";"Wednesday";112.8;"Server Farm to Table";"Joe Rosensteel, Dan Sturm";NA;"Movies";"Hackers";"Like the memories of our childhood, Hackers (1995) is an embarrassing cultural retrospective full of that’s-not-a-things and awful clothing, but it’s still fun to watch in an only-partly-ironic way. Set your modems to receive a file. Defocusers of the world, unite"
"TeeVee";"20";2014-08-31;"2014";"August";"Sunday";46.6333333333333;"Doctor Who S8E2 review: “Into the Dalek”";"Jason Snell";"James Thomson";"Not provided";"Doctor Who Series 8, Episode 2";"Warm up your shrink ray and join us as we journey inside a Dalek! Jason is joined by our very own Glasgow Correspondent, James Thomson, to analyze this week’s Dalek-themed episode. Soldiers named Pink and Blue! Is the Doctor a good man, or a good Dalek? And what did you expect to happen when you “fixed” a good Dalek, anyway?

Want only The Incomparable Network’s Doctor Who-themed episodes? Subscribe to this feed: http://feeds.theincomparable.com/doctorwho"
"The Incomparable";"209";2014-08-30;"2014";"August";"Saturday";107.733333333333;"One Gorn Limit";"Jason Snell";"Brianna Wu, Tony Sindelar, Scott McNulty, David J. Loehr";"Shows";"The best and worst of the “Star Trek” franchise.";"Set your phasers to stun and join us for a celebration of everything we love… and hate… about Star Trek. Our panel of Star Trek fans picks their favorite episodes and characters! But we balance out the niceness by also picking the worst episodes and characters “Star Trek” has brought us over the years across five different TV series.

Want more Star Trek? And don’t forget to listen to our very own Random Trek podcast, hosted by Scott McNulty"
"Bonus Track";"209b";2014-08-30;"2014";"August";"Saturday";14.2833333333333;"The Benson Factor";"Jason Snell";"Brianna Wu, Tony Sindelar";"Not provided";"The Incomparable 209";"Lots of Star Trek talk, including why Klingons are like cats"
"Ruin the Movies";"2";2014-08-29;"2014";"August";"Friday";28.15;"Sir, It’s Burlesque";"Lisa Schmeiser, Philip Michaels";NA;"Not provided";"“Sin City 2: A Dame to Kill For” and “Lucy”";"Phil and Lisa ruin “Sin City 2: A Dame to Kill For” and “Lucy.” Also: the original “Sin City,” “V” the miniseries, the politics of Latveria, “Dark Angel,” Walter the muppet, “Rock of Ages,” “The Last Starfighter,” “She’s Crafty,” Peanuts, Orson Welles, “Her,” “Match Point,” “Dancing With the Stars,” and fish sticks"
"Random Trek";"14";2014-08-28;"2014";"August";"Thursday";42.6333333333333;"“Hope and Fear” (VOY) with Brianna Wu";"Scott McNulty";"Brianna Wu";"Not provided";"“Hope and Fear”";"Brianna Wu, Head of Development at Giant Spacekat and one of the hosts of the Isometric Podcast, joins Scott to talk about Voyager’s Hope and Fear (S4E26). Bri explains why Voyager is the best Trek there is, we discuss Harry Kim and his love of bulkheads, and suggest some changes to Voyager’s lax security protocols"
"Bonus Track";"rt14";2014-08-28;"2014";"August";"Thursday";17.95;"Hope for Voyager, Don’t Fear It";"Scott McNulty";"Brianna Wu";"Not provided";"Random Trek #14";"Bonus Trek: Bri and Scott talk about Star Trek videogames, why people don’t like Voyager, and wonder about all the Nazis in Star Trek"
"Defocused";"11";2014-08-27;"2014";"August";"Wednesday";84.35;"I Do This For A Living";"Joe Rosensteel, Dan Sturm";"Casey Liss";"Movies";"Collateral";"This week we’re joined by special guest, Casey Liss, to discuss 90s music (bad), and Michael Mann’s Collateral (good"
"TeeVee";"19";2014-08-24;"2014";"August";"Sunday";48.1833333333333;"Doctor Who S8E1 review: “Deep Breath”";"Jason Snell";"Serenity Caldwell";"Shows";"Doctor Who Series 8, Episode 1";"We kick off our weekly look at this season of Doctor Who with a larger-than-usual panel for this larger-than-usual episode. Praise for Peter Capaldi! Condemnation for the clockwork droids plot and the extremely weird skin balloon! We also attempt to define the challenges in regeneration episodes in general, and compare and contrast with some of the most recent representatives.



Want only The Incomparable Network’s Doctor Who-themed episodes? Subscribe to this feed: http://feeds.theincomparable.com/doctorwho"
"Total Party Kill";"30";2014-08-24;"2014";"August";"Sunday";48.05;"Bone Throne";"Dan Moren, Tony Sindelar";"Sarah Barbour, Jason Snell, Steve Lutz, Serenity Caldwell, Monty Ashley, Erika Ensign";"Not provided";"Dragonforge and Associates, part 7";"Our party confronts spooky floating bones above a spooky throne. Pieter covets a dead man’s hat. Olestran makes a nifty trick shot that nobody else wants him to make. Doors are checked. Sandwiches are promised. This episode also serves as the series pilot for “CSI: Undermountain"
"The Incomparable";"208";2014-08-23;"2014";"August";"Saturday";133.166666666667;"The Good People Are Dead Already";"Jason Snell";"John Siracusa, Brianna Wu, Steve Lutz, Tiffany Arment";"Games";"“The Last of Us.”";"Sharpen your shivs and barbecue some rats, because it’s time for us to talk about the apocalyptic video game “The Last of Us.” We talk about the story and the characters in this relentlessly bleak story of a man and a girl trying to survive both zombies and people. If you want even more, stay tuned after the music for an entire bonus episode about gameplay and technical aspects of the game"
"Bonus Track";"208b";2014-08-23;"2014";"August";"Saturday";13.1;"What Color Is Your Toothbrush?";"Jason Snell";"Brianna Wu, John Siracusa";"Not provided";"The Incomparable 208";"Toothbrushes and other icebreaking introduction techniques"
"Random Trek";"13";2014-08-21;"2014";"August";"Thursday";44.85;"“Timescape” (TNG) with Swoozy Clancey";"Scott McNulty";"Swoozy Clancey";"Not provided";"“Timescape”";"Swoozy Clancey is a nerdy nurse who has embarked on a journey of watching all of Star Trek: The Next Generation in order. Why not invite her onto Random Trek to talk about a random episode? Luckily for her, the fates were kind and picked a TNG episode: Timescape.

Romulan and temporal anomalies, plus a dash of conference going make this an episode not to miss"
"Defocused";"10";2014-08-21;"2014";"August";"Thursday";89.5833333333333;"A Filmmaking Kitchen Sink";"Joe Rosensteel, Dan Sturm";NA;"Movies";"Detention";"Dan is wearing pants. Joe promises he’s not peeing. We watch Tony Zhou’s A Brief Look at Texting and the Internet in Film before taking on the early 1990s two ways with Empire Records and Detention (2011).

Bug: Joe would like to apologize for recording the wrong audio input this week and he promises to never do it again.  

Feature: You can tell Joe and Dan apart"
"The Incomparable";"207";2014-08-15;"2014";"August";"Friday";80.5333333333333;"I Am Groot";"Jason Snell";"Serenity Caldwell, David J. Loehr, Monty Ashley, Tony Sindelar";"Movies";"“Guardians of the Galaxy.”";"Put in your mix tape and get ready for a climactic dance-off! We’re talking “Guardians of the Galaxy,” Marvel’s latest hit movie and a real departure in so many ways. What makes the movie work? What are its flaws? We break it all down"
"Not Playing";"2.11";2014-08-15;"2014";"August";"Friday";24.35;"Finders Sneakers";"Lex Friedman, Dan Moren";NA;"Not provided";"“Sneakers”";"We missed you, too. 

We took a few weeks off, but then we felt that longing, that need to once again share the joy of watching a movie most everyone has seen, but that at least one of us hasn’t.

In this case, Dan introduced Lex to 1992’s Sneakers, which Lex repeatedly attempted to confuse with the Angelina Jolie starrer Hackers. Sneakers is not Hackers, as Dan patiently explained to Lex. Repeatedly. For a movie about cryptography and hacking, Sneakers holds up surprisingly well.

Hot topics include Lex’s confusion between Robert Redford and Harrison Ford, Ben Kingsley’s New Jersey accent or lack thereof, and stock characters.

Support the show by watching Sneakers via Amazon streaming, or by grabbing the movie from iTunes. And, as always, we’d love it if you left us a review"
"Random Trek";"12";2014-08-14;"2014";"August";"Thursday";43.2;"“Collective” (VOY) with Glenn Fleishman";"Scott McNulty";"Glenn Fleishman";"Not provided";"“Collective”";"Glenn Fleishman, editor and publisher of The Magazine, host of The New Disruptors (which isn’t a podcast reviewing new Klingon and Romulan weaponry), and tweeter of 14 million tweets, joins Scott to talk about Voyager’s Collective (Spoiler: it features the Borg).

This Voyager episode has it all: card playing, Borg babies, Harry Kim being totally lame, and 7 of 9 getting things done"
"Defocused";"9";2014-08-13;"2014";"August";"Wednesday";79.8166666666667;"Chocolate Syrup on Everyone’s Forehead";"Joe Rosensteel, Dan Sturm";NA;"Movies";"The Fifth Element";"Live from Vancouver, Joe eats the turducken of insects, then buys a new kettle. Dan has no heart, but he can fix his car. All that and The Fifth Element"
"Bonus Track";"206b";2014-08-12;"2014";"August";"Tuesday";13.4833333333333;"We Weren’t Ready for Popeye";"Jason Snell";"Serenity Caldwell, David J. Loehr";"Not provided";"Remembering Robin Williams.";"Remembering Robin Williams"
"Total Party Kill";"29";2014-08-11;"2014";"August";"Monday";63.0166666666667;"Don’t Trust the Bugbear";"Dan Moren, Tony Sindelar";"Erika Ensign, Sarah Barbour, Serenity Caldwell, Jason Snell, Steve Lutz, Monty Ashley";"Not provided";"Dragonforge and Associates, part 6";"What’s behind the door? Our adventurers discover a sleeping guard and a collection of prisoners alive and dead. When Flessa’s not trying to blame it on her rusty dagger, Pieter is consulting Paladinpedia about whether it’s okay to kill a bugbear. Speaking of bugbears, we have a feeling you’re about to have a favorite non-player character"
"The Incomparable";"206";2014-08-09;"2014";"August";"Saturday";93.5666666666667;"It’s All BBC to Me";"Jason Snell";"Erika Ensign, Andy Ihnatko, Monty Ashley, David J. Loehr";"Shows";"British TV picked by silly Americans.";"Oi, guv’nor! In this episode five people from North America spend a lot of time talking about British TV we love. If you are not from the UK, you’ll find a lot of fantastic “programmes” from the telly that are worth your attention. And if you are from jolly old Blighty, please laugh along as ignorant Americans assume that every TV show from England is produced by the BBC. Grab a cuppa and a curry and join us, won’t you"
